Time(s),Target,Center,Error,PID_Output
2.4478,320,320,0.0,0.0
2.643,320,320,0.0,0.0
2.6513,320,320,0.0,0.0
2.6599,320,320,0.0,0.0
2.6678,320,428,-108.0,-50.0
2.6836,320,320,0.0,50.0
2.6933,320,320,0.0,-0.0017
2.7052,320,426,-106.0,-50.0
2.7311,320,320,0.0,50.0
2.8606,320,320,0.0,-0.0042
2.9886,320,320,0.0,-0.0042
3.0217,320,320,0.0,-0.0042
3.0278,320,320,0.0,-0.0042
3.0348,320,320,0.0,-0.0042
3.1013,320,320,0.0,-0.0042
3.2936,320,320,0.0,-0.0042
3.5162,320,422,-102.0,-50.0
3.6657,320,420,-100.0,-33.072
3.8699,320,400,-80.0,-13.42
4.0986,320,364,-44.0,8.0726
4.2714,320,335,-15.0,19.786
4.469,320,337,-17.0,-7.6128
4.691,320,329,-9.0,2.106
4.9113,320,301,19.0,25.58
5.1322,320,293,27.0,14.7538
5.2572,320,295,25.0,6.228
5.4731,320,293,27.0,10.7292
5.6986,320,273,47.0,29.6663
5.9129,320,272,48.0,17.4317
6.1004,320,278,42.0,9.8465
6.2935,320,275,45.0,18.0452
6.5188,320,260,60.0,30.9763
6.6438,320,255,65.0,28.7587
6.9797,320,275,45.0,6.8572
7.2112,320,261,59.0,29.7895
7.4801,320,251,69.0,29.8307
7.6247,320,248,72.0,28.4355
7.7683,320,253,67.0,18.3722
7.9147,320,260,60.0,13.988
8.0645,320,243,77.0,44.1652
8.1856,320,243,77.0,27.1522
8.3331,320,250,70.0,17.6043
8.4751,320,244,76.0,33.1807
8.6149,320,244,76.0,26.8657
8.7651,320,244,76.0,26.8885
8.8894,320,245,75.0,25.3508
9.0358,320,236,84.0,38.9514
9.1747,320,235,85.0,31.1854
9.3194,320,233,87.0,32.9046
9.4615,320,233,87.0,30.8553
9.5797,320,235,85.0,27.6376
9.7246,320,234,86.0,31.5855
9.86,320,231,89.0,34.9487
9.9876,320,245,75.0,10.2811
10.1296,320,254,66.0,14.1092
10.236,320,242,78.0,44.7488
10.3729,320,241,79.0,29.296
10.5006,320,266,54.0,-9.9
10.6244,320,277,43.0,2.2949
10.7577,320,268,52.0,28.9178
10.8594,320,259,61.0,35.2298
10.9881,320,275,45.0,-2.2794
11.1051,320,300,20.0,-24.4325
11.2277,320,294,26.0,17.064
11.3597,320,265,55.0,50.0
11.4572,320,269,51.0,12.3461
11.5824,320,301,19.0,-31.0555
11.6978,320,305,15.0,0.7089
11.814,320,284,36.0,40.3752
12.7918,320,414,-94.0,-50.0
12.7984,320,320,0.0,50.0
12.8068,320,320,0.0,0.4811
12.8147,320,320,0.0,0.4811
12.8218,320,320,0.0,0.4811
12.8309,320,320,0.0,0.4811
12.838,320,320,0.0,0.4811
12.846,320,320,0.0,0.4811
12.8562,320,320,0.0,0.4811
12.8624,320,320,0.0,0.4811
12.869,320,320,0.0,0.4811
12.8801,320,320,0.0,0.4811
12.8884,320,320,0.0,0.4811
12.8966,320,320,0.0,0.4811
12.9033,320,320,0.0,0.4811
12.9106,320,320,0.0,0.4811
12.9187,320,320,0.0,0.4811
12.9254,320,320,0.0,0.4811
12.9333,320,320,0.0,0.4811
12.9387,320,320,0.0,0.4811
12.944,320,320,0.0,0.4811
12.9492,320,320,0.0,0.4811
12.9553,320,320,0.0,0.4811
12.9622,320,320,0.0,0.4811
12.9671,320,320,0.0,0.4811
12.9723,320,320,0.0,0.4811
12.9774,320,320,0.0,0.4811
12.9822,320,320,0.0,0.4811
12.9883,320,320,0.0,0.4811
12.9948,320,320,0.0,0.4811
12.9989,320,320,0.0,0.4811
13.003,320,320,0.0,0.4811
13.0073,320,320,0.0,0.4811
13.0128,320,320,0.0,0.4811
13.0183,320,320,0.0,0.4811
13.0251,320,320,0.0,0.4811
13.0292,320,320,0.0,0.4811
13.0334,320,320,0.0,0.4811
13.0377,320,320,0.0,0.4811
13.0419,320,320,0.0,0.4811
13.0468,320,320,0.0,0.4811
13.0517,320,320,0.0,0.4811
13.0559,320,320,0.0,0.4811
13.0632,320,320,0.0,0.4811
13.0673,320,320,0.0,0.4811
13.0716,320,320,0.0,0.4811
13.0791,320,320,0.0,0.4811
13.0842,320,320,0.0,0.4811
13.0895,320,320,0.0,0.4811
13.0964,320,320,0.0,0.4811
13.1013,320,320,0.0,0.4811
13.1066,320,320,0.0,0.4811
13.1106,320,320,0.0,0.4811
13.1155,320,320,0.0,0.4811
13.1203,320,320,0.0,0.4811
13.1246,320,320,0.0,0.4811
13.1311,320,320,0.0,0.4811
13.1363,320,320,0.0,0.4811
13.1406,320,320,0.0,0.4811
13.1484,320,320,0.0,0.4811
13.1534,320,320,0.0,0.4811
13.1583,320,320,0.0,0.4811
13.1644,320,320,0.0,0.4811
13.1693,320,320,0.0,0.4811
13.1742,320,320,0.0,0.4811
13.1795,320,320,0.0,0.4811
13.1848,320,320,0.0,0.4811
13.1898,320,320,0.0,0.4811
13.1952,320,320,0.0,0.4811
13.2001,320,320,0.0,0.4811
13.2043,320,320,0.0,0.4811
13.2088,320,320,0.0,0.4811
13.2137,320,320,0.0,0.4811
13.2185,320,320,0.0,0.4811
13.2232,320,320,0.0,0.4811
13.23,320,320,0.0,0.4811
13.2352,320,320,0.0,0.4811
13.2394,320,320,0.0,0.4811
13.2436,320,320,0.0,0.4811
13.2481,320,320,0.0,0.4811
13.2529,320,320,0.0,0.4811
13.2571,320,320,0.0,0.4811
13.2611,320,320,0.0,0.4811
13.2652,320,320,0.0,0.4811
13.2706,320,320,0.0,0.4811
13.2756,320,320,0.0,0.4811
13.2807,320,320,0.0,0.4811
13.2856,320,320,0.0,0.4811
13.2909,320,320,0.0,0.4811
13.2976,320,320,0.0,0.4811
13.3017,320,320,0.0,0.4811
13.3057,320,320,0.0,0.4811
13.31,320,320,0.0,0.4811
13.315,320,320,0.0,0.4811
13.3198,320,320,0.0,0.4811
13.3239,320,320,0.0,0.4811
13.3295,320,320,0.0,0.4811
13.3339,320,320,0.0,0.4811
13.338,320,320,0.0,0.4811
13.3421,320,320,0.0,0.4811
13.3471,320,320,0.0,0.4811
13.3522,320,320,0.0,0.4811
13.3564,320,320,0.0,0.4811
13.3619,320,320,0.0,0.4811
13.3658,320,320,0.0,0.4811
13.3702,320,320,0.0,0.4811
13.3742,320,320,0.0,0.4811
13.3785,320,320,0.0,0.4811
13.3836,320,320,0.0,0.4811
13.3884,320,320,0.0,0.4811
13.3964,320,320,0.0,0.4811
13.4005,320,320,0.0,0.4811
13.4055,320,320,0.0,0.4811
13.4103,320,320,0.0,0.4811
13.4152,320,320,0.0,0.4811
13.4206,320,320,0.0,0.4811
13.4253,320,320,0.0,0.4811
13.4323,320,320,0.0,0.4811
13.4366,320,320,0.0,0.4811
13.4408,320,320,0.0,0.4811
13.449,320,320,0.0,0.4811
13.4551,320,320,0.0,0.4811
13.4608,320,320,0.0,0.4811
13.4655,320,320,0.0,0.4811
13.4702,320,320,0.0,0.4811
13.4743,320,320,0.0,0.4811
13.4783,320,320,0.0,0.4811
13.4833,320,320,0.0,0.4811
13.4881,320,320,0.0,0.4811
13.4924,320,320,0.0,0.4811
13.498,320,320,0.0,0.4811
13.5026,320,320,0.0,0.4811
13.5121,320,320,0.0,0.4811
13.5212,320,320,0.0,0.4811
13.5301,320,320,0.0,0.4811
